label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
Mar-25,0.007,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,5,60
Apr-25,0.008,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,6,61
May-25,0.024,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,7,62
Jun-25,-0.024,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,8,63
Jul-25,0.005,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,9,64
Aug-25,-0.069,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,10,65
Sep-25,0.008,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,11,66
Nov-24,0.002,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,1,67
Dec-24,-0.008,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,2,68
Jan-25,0.01,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,3,69
