system:time_start,0,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
"Sep 12, 2025",0.449,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,81,81
"Sep 14, 2025",0.441,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,82,82
"Sep 16, 2025",0.435,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,83,83
"Sep 17, 2025",0.445,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,84,84
"Sep 22, 2025",0.462,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,85,85
"Sep 24, 2025",0.481,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,86,86
"Nov 6, 2024",0.656,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,1,87
"Nov 11, 2024",0.623,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,2,88
"Nov 18, 2024",0.529,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,3,89
"Nov 28, 2024",0.467,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,4,90
"Dec 3, 2024",0.403,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,5,91
"Dec 6, 2024",0.377,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,6,92
"Dec 8, 2024",0.413,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,7,93
"Dec 16, 2024",0.413,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,8,94
