label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,system:time_start,0,id_global
,,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,CON_NDVI,82,"Sep 14, 2025",0.441,93
,,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,CON_NDVI,83,"Sep 16, 2025",0.435,94
,,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,CON_NDVI,84,"Sep 17, 2025",0.445,95
,,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,CON_NDVI,85,"Sep 22, 2025",0.462,96
,,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,CON_NDVI,86,"Sep 24, 2025",0.481,97
Nov-24,0.076,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,1,,,98
Dec-24,-0.037,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,2,,,99
Jan-25,-0.012,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,3,,,100
Feb-25,-0.05,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,4,,,101
Mar-25,-0.016,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,5,,,102
